word,definition
shadowed,"used in reference to proximity, ominous oppressiveness, or sadness and gloom"
shadowed,follow and observe (someone) closely and secretly
shadowed, dark area or shape produced by a body coming between rays of light and a surface
shadowed,envelop in shadow; cast a shadow over
smoky,producing or obscured by a great deal of smoke
uncertain,(of a person) not completely confident or sure of something
uncertain,not able to be relied on; not known or definite
uncertainly,gradually grow faint and disappear. Doubt
uncertainty,Feelings of worry and nervousness
undefined,"not clearly or precisely shown or described, "
unfamiliar,obscure
unfamiliar,not known or recognized
unfamiliar,unusual or uncharacteristic
unintelligible,unable to be understood or comprehended
unintelligible,not clearly understood or expressed
unknown,"not within the range of one's knowledge, experience, or understanding; strange; unfamiliar."
vague,"of uncertain, indefinite, or unclear character or meaning"
vaguely,"in a way that is uncertain, indefinite or unclear; "
contained,have or hold (someone or something) within.
contain,have or hold (someone or something) within.
transpired,occur; happen
domesticated,tame (an animal) and keep it as a pet or for farm produce
pasquinade,"a satire or lampoon, originally one displayed or delivered publicly in a public place"
normandy,a region in Northern France along the English Channel
vestibule,"an antechamber, hall, or lobby next to the outer door of a building"
vestibules,"an antechamber, hall, or lobby next to the outer door of a building"
generating,"cause (something, especially an emotion or situation) to arise or come about."
amazing,causing great surprise or wonder
astonished,surprise or impress (someone) greatly
astonishing,extremely surprising or impressive
astounded,"If you are astounded by something, you are very shocked or surprised that it could exist or happen"
astounding,extremely surprising or impressive
brilliant,exceptionally clever or talented.
brilliant,(of light or color) very bright and radiant.
colossal,extremely large
considerable,"notably large in size, amount, or extent"
curious,strange or unusual
curious,eager to learn or know; inquisitive.
curious,eager to know or learn something
curious,"arousing or exciting speculation, interest, or attention through being inexplicable or highly unusual; odd; strange:"
dazzling,"extremely bright, especially so as to blind the eyes temporarily"
dazzling,"extremely impressive, beautiful, or skillful."
enchanting,delightfully charming or attractive.
enormous,"very large in size, quantity, or extent"
exciting,causing great enthusiasm and eagerness
extraordinary,very unusual or remarkable
fantastic,imaginative or fanciful; remote from reality
fantastic,so extreme as to challenge belief
fantastic,extraordinarily good or attractive
fascinated,very interested or attracted by someone or something
giant,an imaginary or mythical being of human form but superhuman size
giant,of very great size or force
gigantic,of very great size or extent; huge or enormous
glorious,having a striking beauty or splendor that evokes feelings of delighted admiration
glorious,"having, worthy of, or bringing fame or admiration."
gorgeous,beautiful; very attractive
great,"of an extent, amount, or intensity considerably above the normal or average"
greater,"of an extent, amount, or intensity considerably above the normal or average"
greatest,"of an extent, amount, or intensity considerably above the normal or average"
huge,extremely large; enormous
huge,of considerable importance or seriousness
impressive,"evoking admiration through size, quality, or skill; grand, imposing, or awesome"
incalculable,too great to be calculated or estimated.
incomparable,without an equal in quality or extent; matchless.
inconceivable,not capable of being imagined or grasped mentally; unbelievable
lovely,exquisitely beautiful
lovely,"delightful for beauty, harmony, or grace"
magical,beautiful or delightful in such a way as to seem removed from everyday life
marvelled,be filled with wonder or astonishment
marvelling,be filled with wonder or astonishment
massive,exceptionally large
massive,large and heavy or solid
odd,in a way that is different from what is usual or expected
oddly,in a way that is different from what is usual or expected;
overwhelming,"If something is overwhelming, it affects you very strongly, and you do not know how to deal with it."
overwhelming,You can use overwhelming to emphasize that an amount or quantity is much greater than other amounts or quantities.
peculiar,strange or odd; unusual
peculiarly,in a strange or unusual way
rare,"(of an event, situation, or condition) not occurring very often"
rare,unusually good or remarkable
remarkable,worthy of attention; striking
significant,sufficiently great or important to be worthy of attention
splendid,magnificent; very impressive
startling,surprising and sometimes worrying
startling,"very surprising, astonishing, or remarkable."
startlingly,"in a very surprising, astonishing, or remarkable way"
strangest,"not previously visited, seen, or encountered; unfamiliar or alien"
strangest,unusual or surprising in a way that is unsettling or hard to understand
strangest,unusual or surprising in a way that is unsettling or hard to understand.
strange,"not previously visited, seen, or encountered; unfamiliar or alien"
strange,unusual or surprising in a way that is unsettling or hard to understand
strange,unusual or surprising in a way that is unsettling or hard to understand.
surprised,"an unexpected or astonishing event, fact, or thing"
surprising,"an unexpected or astonishing event, fact, or thing"
surprise,"an unexpected or astonishing event, fact, or thing"
surprising,of a nature that excites
surprisingly,in an unusual or unexpected way - sometimes worrying
thrilling,causing excitement and pleasure; exhilarating
tremendous,"very great in amount, scale, or intensity"
tremendous,extremely good or impressive; excellent
ultimate,You use ultimate to describe the best possible example of a particular thing.
ultimate,You use ultimate to describe the original source or cause of something.
unbelievable,unlikely to be true
unbelievable,so great or extreme as to be difficult to believe; extraordinary
unfathomable,incapable of being fully explored or understood
unforgettable,"If you describe something as unforgettable, you mean that it is, for example, extremely beautiful, enjoyable, or unusual, so that you remember it for a long time. You can also refer to extremely unpleasant things as unforgettable"
unprecedented,"If something is unprecedented, it has never happened before"
unreal,so strange as to appear imaginary; not seeming real
unreal,"lacking in reality, substance, or genuineness "
unusual,remarkable or interesting because different from or better than others
vast,of very great extent or quantity; immense.
weird,"of strange or extraordinary character : odd, fantastic"
wonder,a cause of astonishment or admiration
wondering,a cause of astonishment or admiration
wondered,a cause of astonishment or admiration
wonderful,"inspiring delight, pleasure, or admiration; extremely good; marvelous"
antecedents,a thing or event that existed before or logically precedes another.
compulsion,the action or state of forcing or being forced to do something; constraint.
corroborated,"confirm or give support to (a statement, theory, or finding)"
corroborate,"confirm or give support to (a statement, theory, or finding)"
contempt,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn."
asunder,into pieces
teutonic,relating to German people
solidarity,"unity or agreement of feeling or action, especially among individuals with a common interest; mutual support within a group."
